control_id,stage_number,stage_name,family_code,family_name,aspect_id,legacy_aspect_id,requirement,expected_evidence,primary_owner_role,dependency,min_tier,domain,continuous,criticality,irreversibility,inherits_forward,title,objective,responsible_seat,supporting_seats,trigger_logic,dependencies,downstream_exposure,applicable_delivery_models,evidence_class,verification_method,seat_type,gating_party
SCH-PRG-001,3,Schematic,SCH-PRG,Program Conformance,A11,A05,"The schematic program — unit count, mix, rentable area, parking and amenity — is reconciled line by line to the program that was underwritten.","Program comparison table, schematic vs underwriting",OWNERS_REPRESENTATIVE,,CORE,SCHEMATIC,false,CRITICAL,Y,true,Program reconciled to underwriting,"The schematic program — unit count, mix, rentable area, parking and amenity — is reconciled line by line to the program that was underwritten.",OWNERS_REPRESENTATIVE,,,,,,INTERNAL_ANALYSIS,RECOMPUTED,INTERNAL,
SCH-PRG-002,3,Schematic,SCH-PRG,Program Conformance,A11,A05,Gross-to-net efficiency achieved in the schematic plan is measured and tested against the ratio assumed in the model.,Area calculation; efficiency comparison,ARCHITECT,,CORE,SCHEMATIC,false,CRITICAL,Y,true,Efficiency ratio tested,Gross-to-net efficiency achieved in the schematic plan is measured and tested against the ratio assumed in the model.,ARCHITECT,,,,,,DESIGN_DELIVERABLE,RECOMPUTED,CONSULTANT,
SCH-PRG-003,3,Schematic,SCH-PRG,Program Conformance,A11,A05,"Every departure from the underwritten program carries a dated owner decision, not a designer assumption.",Decision log with dates and signatures,OWNER_PRINCIPAL,,CORE,SCHEMATIC,false,CRITICAL,Y,true,Program changes have owner decisions,"Every departure from the underwritten program carries a dated owner decision, not a designer assumption.",OWNER_PRINCIPAL,,,,,,ATTESTATION,SOURCE_VERIFIED,INTERNAL,
SCH-PRG-004,3,Schematic,SCH-PRG,Program Conformance,A11,A05,The schematic yield does not exceed what the entitlement approvals actually permit.,Approval resolution; bulk conformance table,LAND_USE_COUNSEL,,CORE,SCHEMATIC,false,CRITICAL,Y,true,Yield conforms to approvals,The schematic yield does not exceed what the entitlement approvals actually permit.,LAND_USE_COUNSEL,MUNICIPALITY,,,,,AGENCY_ISSUANCE,AGENCY_CONFIRMED,CONSULTANT,MUNICIPALITY
SCH-BUD-001,3,Schematic,SCH-BUD,Budget Alignment at Schematic,A16,A08,A schematic-level estimate has been produced by a qualified estimator against the actual schematic documents.,Schematic estimate with basis and exclusions,COST_CONSULTANT,,CORE,SCHEMATIC,false,CRITICAL,N,true,Schematic estimate produced,A schematic-level estimate has been produced by a qualified estimator against the actual schematic documents.,COST_CONSULTANT,,,,,,INTERNAL_ANALYSIS,RECOMPUTED,CONSULTANT,
SCH-BUD-002,3,Schematic,SCH-BUD,Budget Alignment at Schematic,A16,A08,The schematic estimate is reconciled to the control budget and every variance is explained by a scope or market cause.,Reconciliation with variance narrative,COST_CONSULTANT,,CORE,SCHEMATIC,false,CRITICAL,Y,true,Estimate reconciled to budget,The schematic estimate is reconciled to the control budget and every variance is explained by a scope or market cause.,COST_CONSULTANT,,,,,,INTERNAL_ANALYSIS,RECOMPUTED,CONSULTANT,
SCH-BUD-003,3,Schematic,SCH-BUD,Budget Alignment at Schematic,A16,A08,"Where the estimate exceeds budget, a documented design-to-budget decision is made before design development begins.",Value engineering log; owner decision record,OWNER_PRINCIPAL,,CORE,SCHEMATIC,false,CRITICAL,Y,true,Design-to-budget gate held,"Where the estimate exceeds budget, a documented design-to-budget decision is made before design development begins.",OWNER_PRINCIPAL,,,,,,ATTESTATION,SOURCE_VERIFIED,INTERNAL,
SCH-BUD-004,3,Schematic,SCH-BUD,Budget Alignment at Schematic,A16,A08,"Escalation from the estimate date to the anticipated bid date is restated at schematic, not carried from acquisition.",Escalation assumption with index and dates,COST_CONSULTANT,,CORE,SCHEMATIC,false,HIGH,N,true,Escalation to bid restated,"Escalation from the estimate date to the anticipated bid date is restated at schematic, not carried from acquisition.",COST_CONSULTANT,,,,,,INTERNAL_ANALYSIS,RECOMPUTED,CONSULTANT,
SCH-BUD-005,3,Schematic,SCH-BUD,Budget Alignment at Schematic,A16,A08,Every allowance and exclusion in the schematic estimate is listed and carries an owner acknowledgement.,"Allowance and exclusion schedule, acknowledged",OWNER_PRINCIPAL,,CORE,SCHEMATIC,false,HIGH,Y,true,Allowances and exclusions listed,Every allowance and exclusion in the schematic estimate is listed and carries an owner acknowledgement.,OWNER_PRINCIPAL,,,,,,FINANCIAL_STATEMENT,SOURCE_VERIFIED,INTERNAL,
SCH-SIT-001,3,Schematic,SCH-SIT,Site & Utility Basis,A03,A01,"The schematic site plan conforms to the approved site plan, or every deviation is identified with its amendment path and duration.",Approved plan overlay; deviation schedule,CIVIL_ENGINEER,,CORE,SCHEMATIC,false,CRITICAL,Y,true,Site plan conforms to approval,"The schematic site plan conforms to the approved site plan, or every deviation is identified with its amendment path and duration.",CIVIL_ENGINEER,MUNICIPALITY,,,,,DESIGN_DELIVERABLE,AGENCY_CONFIRMED,CONSULTANT,MUNICIPALITY
SCH-SIT-002,3,Schematic,SCH-SIT,Site & Utility Basis,A04,A03,"Site development cost at schematic is built from the geotechnical, stormwater and utility findings — not from a per-acre allowance and not from the acquisition placeholder.",Site cost buildup citing each study,CIVIL_ENGINEER,,CORE,SCHEMATIC,false,CRITICAL,Y,true,Site cost carried from evidence,"Site development cost at schematic is built from the geotechnical, stormwater and utility findings — not from a per-acre allowance and not from the acquisition placeholder.",CIVIL_ENGINEER,,,,,,INTERNAL_ANALYSIS,RECOMPUTED,CONSULTANT,
SCH-SIT-003,3,Schematic,SCH-SIT,Site & Utility Basis,A05,A04,"Electrical, gas, water and sanitary loads for the schematic program are established and reconciled to the confirmed capacity.",Load calculation; utility capacity comparison,MEP_ENGINEER,,CORE,SCHEMATIC,false,CRITICAL,Y,true,Utility loads established,"Electrical, gas, water and sanitary loads for the schematic program are established and reconciled to the confirmed capacity.",MEP_ENGINEER,,,,,,INTERNAL_ANALYSIS,RECOMPUTED,CONSULTANT,
